PSWID,SYSTEM_NAME,COUNTY,OWNERSHIP_SDWIS,OWNERSHIP_Corrected,OWNERSHIP_Binary,TYPE_consolidated,SOURCE_SDWIS,Source_Binary,Source_Purchased,POP_TOTAL,LN_POP,CWStype_SDWIS,WQ_REG,VIOLATION_COUNT,COUNT_TCR,TOTAL_VIOLATIONS,INST_CHANGE
CA2000501,BASS LAKE ANNEX 3,MADERA,Private,Private,Nongovernmental,Private,GW,GW,No,42,3.737669618,Community,LPA,4,7,11,NO
CA2000573,THE VILLAGE,MADERA,Private,Private,Nongovernmental,Private,GW,GW,No,40,3.688879454,Community,LPA,0,0,0,NO
CA2000647,JOHN HOVANNISIAN WATER SYSTEM,MADERA,Private,Private,Nongovernmental,Private,GW,GW,No,80,4.382026635,Community,LPA,3,1,4,NO
CA2000688,ECCO,MADERA,Private,Private,Nongovernmental,Private,GW,GW,No,100,4.605170186,Community,LPA,3,0,3,NO
CA2000785,VALLEY TEEN RANCH,MADERA,Private,Private,Nongovernmental,Private,GW,GW,No,50,3.912023005,Community,LPA,8,0,8,NO
CA2000800,MARQUEZ RENTAL,MADERA,Private,Private,Nongovernmental,Private,GW,GW,No,50,3.912023005,Community,LPA,4,1,5,NO
CA2000832,SKP PARK OF THE SIERRAS INC,MADERA,Private,Private,Nongovernmental,Private,GW,GW,No,400,5.991464547,Community,SWRCB-DISTRICT,5,0,5,NO
CA2010010,MADERA VALLEY WATER COMPANY,MADERA,Private,Private,Nongovernmental,Private,GW,GW,No,7067,8.863191341,Community,SWRCB-DISTRICT,0,0,0,NO
CA2100549,BLUE MOUNTAIN CENTER,MARIN,Private,Private,Nongovernmental,Private,GW,GW,No,35,3.555348061,Community,SWRCB-DISTRICT,0,0,0,NO
CA2100565,GREEN GULCH FARM,MARIN,Private,Private,Nongovernmental,Private,GU,GW,No,75,4.317488114,Community,SWRCB-DISTRICT,0,0,0,NO
CA2110008,LAWSON S LANDING,MARIN,Private,Private,Nongovernmental,Private,GW,GW,No,894,6.795705775,Community,SWRCB-DISTRICT,0,0,0,NO
CA2210900,CEDAR LODGE RESORT,MARIPOSA,Private,Private,Nongovernmental,Private,GW,GW,No,28,3.33220451,Community,SWRCB-DISTRICT,5,2,7,NO
CA2210905,"MCCLURE BOAT CLUB, INC.",MARIPOSA,Private,Private,Nongovernmental,Private,SW,SW,No,283,5.645446898,Community,SWRCB-DISTRICT,1,0,1,NO
CA2210921,WHISPERING PINES APARTMENTS,MARIPOSA,Private,Private,Nongovernmental,Private,GW,GW,No,55,4.007333185,Community,SWRCB-DISTRICT,0,0,0,NO
CA2210925,YOSEMITE TERRACE ESTATES,MARIPOSA,Private,Private,Nongovernmental,Private,GW,GW,No,75,4.317488114,Community,SWRCB-DISTRICT,0,0,0,NO
CA2300545,SHORELANDS ROAD & WATER COMPANY,MENDOCINO,Private,Private,Nongovernmental,Private,GW,GW,No,85,4.442651256,Community,SWRCB-DISTRICT,0,0,0,NO
CA2300609,SEAFAIR ROAD AND WATER COMPANY,MENDOCINO,Private,Private,Nongovernmental,Private,GW,GW,No,50,3.912023005,Community,SWRCB-DISTRICT,0,0,0,NO
