SABL_PWSID,COUNTY,COUNTY_FIXED
CA1500555,KERN  ,KERN
CA1500593,KERN  ,KERN
CA1510056,KERN  ,KERN
CA1500374,KERN  ,KERN
CA1510012,KERN  ,KERN
CA1500585,KERN  ,KERN
CA1510004,KERN  ,KERN
CA1500544,KERN  ,KERN
CA1500493,KERN  ,KERN
CA1502619,KERN  ,KERN
CA1500333,KERN  ,KERN
CA1510014,KERN  ,KERN
CA1500578,KERN  ,KERN
CA1510011,KERN  ,KERN
CA1502690,KERN  ,KERN
CA1500563,KERN  ,KERN
CA1500371,KERN  ,KERN
CA1500443,KERN  ,KERN
CA1503270,KERN  ,KERN
CA1510049,KERN  ,KERN
CA1510045,KERN  ,KERN
CA1500364,KERN  ,KERN
CA1500481,KERN  ,KERN
CA1500554,KERN  ,KERN
CA1500409,KERN  ,KERN
CA1510054,KERN  ,KERN
CA1500475,KERN  ,KERN
CA1500478,KERN  ,KERN
CA1500569,KERN  ,KERN
CA1500571,KERN  ,KERN
CA1500406,KERN  ,KERN
CA1502232,KERN  ,KERN
CA1502247,KERN  ,KERN
CA1502620,KERN  ,KERN
CA1502663,KERN  ,KERN
CA1500465,KERN  ,KERN
CA1500289,KERN  ,KERN
CA1500378,KERN  ,KERN
CA1502629,KERN  ,KERN
CA1500566,KERN  ,KERN
CA1500341,KERN  ,KERN
CA1500448,KERN  ,KERN
CA1500458,KERN  ,KERN
CA1503536,KERN  ,KERN
CA1500424,KERN  ,KERN
CA1500398,KERN  ,KERN
CA1500550,KERN  ,KERN
CA1500449,KERN  ,KERN
CA1500209,KERN  ,KERN
CA1500405,KERN  ,KERN
CA1500447,KERN  ,KERN
CA1500525,KERN  ,KERN
CA1503669,KERN  ,KERN
CA1500588,KERN  ,KERN
CA1500296,KERN  ,KERN
CA1500401,KERN  ,KERN
CA1500404,KERN  ,KERN
CA1510023,KERN  ,KERN
CA1510046,KERN  ,KERN
CA1500407,KERN  ,KERN
CA1510039,KERN  ,KERN
CA1500560,KERN  ,KERN
CA1510016,KERN  ,KERN
CA1510038,KERN  ,KERN
CA1510051,KERN  ,KERN
CA1610007,KINGS  ,KINGS
CA1600507,KINGS  ,KINGS
CA1610009,KINGS  ,KINGS
CA1610004,KINGS  ,KINGS
CA1610006,KINGS  ,KINGS
CA1610001,KINGS  ,KINGS
CA1610005,KINGS  ,KINGS
CA1610003,KINGS  ,KINGS
CA1610002,KINGS  ,KINGS
CA1600002,KINGS  ,KINGS
CA1710003,LAKE  ,LAKE
CA1700595,LAKE  ,LAKE
CA1700580,LAKE  ,LAKE
CA1710014,LAKE  ,LAKE
CA1710001,LAKE  ,LAKE
CA1700657,LAKE  ,LAKE
CA1710009,LAKE  ,LAKE
CA1710004,LAKE  ,LAKE
CA1700508,LAKE  ,LAKE
CA1700549,LAKE  ,LAKE
CA1710008,LAKE  ,LAKE
CA1710006,LAKE  ,LAKE
CA1700630,LAKE  ,LAKE
CA1700502,LAKE  ,LAKE
CA1710005,LAKE  ,LAKE
CA1700606,LAKE  ,LAKE
CA1710007,LAKE  ,LAKE
CA1710010,LAKE  ,LAKE
CA1700584,LAKE  ,LAKE
CA1700568,LAKE  ,LAKE
CA1710021,LAKE  ,LAKE
CA1700610,LAKE  ,LAKE
CA1700592,LAKE  ,LAKE
CA1700561,LAKE  ,LAKE
CA1700674,LAKE  ,LAKE
CA1710011,LAKE  ,LAKE
CA1700609,LAKE  ,LAKE
CA1710018,LAKE  ,LAKE
CA1700589,LAKE  ,LAKE
CA1700536,LAKE  ,LAKE
CA1710012,LAKE  ,LAKE
CA1700554,LAKE  ,LAKE
CA1710013,LAKE  ,LAKE
CA1710002,LAKE  ,LAKE
CA1700546,LAKE  ,LAKE
CA1700518,LAKE  ,LAKE
CA1710015,LAKE  ,LAKE
CA1710022,LAKE  ,LAKE
CA1800512,LASSEN  ,LASSEN
CA1810004,LASSEN  ,LASSEN
CA1810002,LASSEN  ,LASSEN
CA1800516,LASSEN  ,LASSEN
CA1800534,LASSEN  ,LASSEN
CA1810001,LASSEN  ,LASSEN
CA1800511,LASSEN  ,LASSEN
CA1800524,LASSEN  ,LASSEN
CA1805007,LASSEN  ,LASSEN
CA1800523,LASSEN  ,LASSEN
CA1800503,LASSEN  ,LASSEN
CA1800529,LASSEN  ,LASSEN
CA1800522,LASSEN  ,LASSEN
CA1910234,LOS ANGELES  ,LOS ANGELES
CA1910194,LOS ANGELES  ,LOS ANGELES
CA1910158,LOS ANGELES  ,LOS ANGELES
CA1900636,LOS ANGELES  ,LOS ANGELES
CA1900303,LOS ANGELES  ,LOS ANGELES
CA1900038,LOS ANGELES  ,LOS ANGELES
CA1910239,LOS ANGELES  ,LOS ANGELES
CA1910028,LOS ANGELES  ,LOS ANGELES
CA1910146,LOS ANGELES  ,LOS ANGELES
CA1910211,LOS ANGELES  ,LOS ANGELES
CA1910018,LOS ANGELES  ,LOS ANGELES
CA1900542,LOS ANGELES  ,LOS ANGELES
CA1910044,LOS ANGELES  ,LOS ANGELES
CA1910003,LOS ANGELES  ,LOS ANGELES
CA1910090,LOS ANGELES  ,LOS ANGELES
CA1910098,LOS ANGELES  ,LOS ANGELES
CA1910065,LOS ANGELES  ,LOS ANGELES
CA1910079,LOS ANGELES  ,LOS ANGELES
CA1910023,LOS ANGELES  ,LOS ANGELES
CA1910166,LOS ANGELES  ,LOS ANGELES
CA1900907,LOS ANGELES  ,LOS ANGELES
CA1910009,LOS ANGELES  ,LOS ANGELES
CA1910012,LOS ANGELES  ,LOS ANGELES
CA1900868,LOS ANGELES  ,LOS ANGELES
CA1900961,LOS ANGELES  ,LOS ANGELES
CA1910053,LOS ANGELES  ,LOS ANGELES
CA1910213,LOS ANGELES  ,LOS ANGELES
CA1910006,LOS ANGELES  ,LOS ANGELES
CA1900529,LOS ANGELES  ,LOS ANGELES
CA1910004,LOS ANGELES  ,LOS ANGELES
CA1907014,LOS ANGELES  ,LOS ANGELES
CA1910046,LOS ANGELES  ,LOS ANGELES
CA1910029,LOS ANGELES  ,LOS ANGELES
CA1910167,LOS ANGELES  ,LOS ANGELES
CA1910155,LOS ANGELES  ,LOS ANGELES
CA1910020,LOS ANGELES  ,LOS ANGELES
CA1910083,LOS ANGELES  ,LOS ANGELES
CA1910073,LOS ANGELES  ,LOS ANGELES
CA1910157,LOS ANGELES  ,LOS ANGELES
CA1910027,LOS ANGELES  ,LOS ANGELES
CA1910075,LOS ANGELES  ,LOS ANGELES
CA1900975,LOS ANGELES  ,LOS ANGELES
CA1910067,LOS ANGELES  ,LOS ANGELES
CA1910059,LOS ANGELES  ,LOS ANGELES
CA1910148,LOS ANGELES  ,LOS ANGELES
CA1910092,LOS ANGELES  ,LOS ANGELES
CA1900849,LOS ANGELES  ,LOS ANGELES
CA1900804,LOS ANGELES  ,LOS ANGELES
CA1910021,LOS ANGELES  ,LOS ANGELES
CA1910241,LOS ANGELES  ,LOS ANGELES
CA1910161,LOS ANGELES  ,LOS ANGELES
CA1910086,LOS ANGELES  ,LOS ANGELES
CA1910117,LOS ANGELES  ,LOS ANGELES
CA1900100,LOS ANGELES  ,LOS ANGELES
CA1910246,LOS ANGELES  ,LOS ANGELES
CA1910026,LOS ANGELES  ,LOS ANGELES
CA1910169,LOS ANGELES  ,LOS ANGELES
CA1900843,LOS ANGELES  ,LOS ANGELES
CA1910025,LOS ANGELES  ,LOS ANGELES
CA1910143,LOS ANGELES  ,LOS ANGELES
CA1910040,LOS ANGELES  ,LOS ANGELES
CA1900721,LOS ANGELES  ,LOS ANGELES
CA1910249,LOS ANGELES  ,LOS ANGELES
CA1900130,LOS ANGELES  ,LOS ANGELES
CA1900154,LOS ANGELES  ,LOS ANGELES
CA1900803,LOS ANGELES  ,LOS ANGELES
CA1910091,LOS ANGELES  ,LOS ANGELES
CA1910035,LOS ANGELES  ,LOS ANGELES
CA1910108,LOS ANGELES  ,LOS ANGELES
CA1910063,LOS ANGELES  ,LOS ANGELES
CA1910159,LOS ANGELES  ,LOS ANGELES
CA1910038,LOS ANGELES  ,LOS ANGELES
CA1910124,LOS ANGELES  ,LOS ANGELES
CA1910205,LOS ANGELES  ,LOS ANGELES
CA1910019,LOS ANGELES  ,LOS ANGELES
CA1900785,LOS ANGELES  ,LOS ANGELES
CA1900794,LOS ANGELES  ,LOS ANGELES
CA1910066,LOS ANGELES  ,LOS ANGELES
CA1910105,LOS ANGELES  ,LOS ANGELES
CA1910134,LOS ANGELES  ,LOS ANGELES
CA1910173,LOS ANGELES  ,LOS ANGELES
CA1900767,LOS ANGELES  ,LOS ANGELES
CA1910200,LOS ANGELES  ,LOS ANGELES
CA1900537,LOS ANGELES  ,LOS ANGELES
CA1900649,LOS ANGELES  ,LOS ANGELES
CA1910056,LOS ANGELES  ,LOS ANGELES
CA1910099,LOS ANGELES  ,LOS ANGELES
CA1910160,LOS ANGELES  ,LOS ANGELES
CA1900145,LOS ANGELES  ,LOS ANGELES
CA1900809,LOS ANGELES  ,LOS ANGELES
CA1900146,LOS ANGELES  ,LOS ANGELES
CA1910062,LOS ANGELES  ,LOS ANGELES
CA1910154,LOS ANGELES  ,LOS ANGELES
CA1910189,LOS ANGELES  ,LOS ANGELES
CA1910149,LOS ANGELES  ,LOS ANGELES
